[1800, 0] [0, 1800] [249, 189]
[418, 250] [596, 1] [1800, 0]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [155, 174]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[281, 7] [155, 174] [2, 1]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [459, 164]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[0, 1800] [291, 373] [599, 448]
[291, 373] [0, 1800] [194, 265]
[291, 373] [347, 287] [599, 448]
[-1800, -1800] [281, 7] [2, 1]
[281, 7] [-1800, -1800] [596, 1]
[459, 164] [596, 1] [599, 448]
[418, 250] [344, 143] [459, 164]
[599, 448] [596, 1] [1800, 0]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [277, 0]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[277, 0] [231, 150] [155, 174]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [459, 164]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[0, 1800] [291, 373] [599, 448]
[291, 373] [0, 1800] [194, 265]
[291, 373] [347, 287] [599, 448]
[277, 0] [2, 1] [-1800, -1800]
[2, 1] [277, 0] [155, 174]
[459, 164] [596, 1] [599, 448]
[418, 250] [344, 143] [459, 164]
[599, 448] [596, 1] [1800, 0]
[596, 1] [281, 7] [277, 0]
[-1800, -1800] [596, 1] [277, 0]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [277, 0]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[277, 0] [231, 150] [155, 174]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [597, 194]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[0, 1800] [291, 373] [599, 448]
[291, 373] [0, 1800] [194, 265]
[291, 373] [347, 287] [599, 448]
[277, 0] [2, 1] [-1800, -1800]
[2, 1] [277, 0] [155, 174]
[459, 164] [596, 1] [597, 194]
[418, 250] [344, 143] [459, 164]
[597, 194] [418, 250] [459, 164]
[597, 194] [1800, 0] [599, 448]
[1800, 0] [597, 194] [596, 1]
[596, 1] [281, 7] [277, 0]
[-1800, -1800] [596, 1] [277, 0]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [2, 1]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [277, 0]
[194, 265] [2, 1] [155, 174]
[2, 1] [194, 265] [0, 1800]
[277, 0] [231, 150] [155, 174]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [597, 194]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[194, 265] [290, 447] [0, 1800]
[290, 447] [194, 265] [291, 373]
[291, 373] [347, 287] [599, 448]
[277, 0] [2, 1] [-1800, -1800]
[2, 1] [277, 0] [155, 174]
[459, 164] [596, 1] [597, 194]
[418, 250] [344, 143] [459, 164]
[597, 194] [418, 250] [459, 164]
[597, 194] [1800, 0] [599, 448]
[1800, 0] [597, 194] [596, 1]
[596, 1] [281, 7] [277, 0]
[-1800, -1800] [596, 1] [277, 0]
[291, 373] [599, 448] [290, 447]
[599, 448] [0, 1800] [290, 447]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [3, 194]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [277, 0]
[3, 194] [155, 174] [194, 265]
[155, 174] [3, 194] [2, 1]
[277, 0] [231, 150] [155, 174]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [597, 194]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[194, 265] [290, 447] [3, 194]
[290, 447] [194, 265] [291, 373]
[291, 373] [347, 287] [599, 448]
[277, 0] [2, 1] [-1800, -1800]
[2, 1] [277, 0] [155, 174]
[459, 164] [596, 1] [597, 194]
[3, 194] [-1800, -1800] [2, 1]
[418, 250] [344, 143] [459, 164]
[597, 194] [418, 250] [459, 164]
[3, 194] [290, 447] [0, 1800]
[597, 194] [1800, 0] [599, 448]
[1800, 0] [597, 194] [596, 1]
[596, 1] [281, 7] [277, 0]
[-1800, -1800] [596, 1] [277, 0]
[291, 373] [599, 448] [290, 447]
[599, 448] [0, 1800] [290, 447]
[1800, 0] [0, 1800] [599, 448]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [3, 194]
[-1800, -1800] [1800, 0] [596, 1]
[231, 150] [281, 7] [344, 143]
[281, 7] [231, 150] [277, 0]
[3, 194] [155, 174] [194, 265]
[155, 174] [3, 194] [2, 1]
[277, 0] [231, 150] [155, 174]
[459, 164] [281, 7] [596, 1]
[281, 7] [459, 164] [344, 143]
[347, 287] [278, 235] [344, 143]
[278, 235] [347, 287] [287, 311]
[231, 150] [344, 143] [278, 235]
[278, 235] [240, 286] [194, 265]
[240, 286] [278, 235] [287, 311]
[231, 150] [278, 235] [194, 265]
[418, 250] [599, 448] [347, 287]
[599, 448] [418, 250] [597, 194]
[240, 286] [291, 373] [194, 265]
[291, 373] [240, 286] [287, 311]
[231, 150] [194, 265] [155, 174]
[287, 311] [347, 287] [291, 373]
[347, 287] [344, 143] [418, 250]
[194, 265] [290, 447] [3, 194]
[290, 447] [194, 265] [291, 373]
[291, 373] [347, 287] [599, 448]
[277, 0] [2, 1] [-1800, -1800]
[2, 1] [277, 0] [155, 174]
[459, 164] [596, 1] [597, 194]
[3, 194] [-1800, -1800] [2, 1]
[418, 250] [344, 143] [459, 164]
[597, 194] [418, 250] [459, 164]
[3, 194] [290, 447] [0, 1800]
[597, 194] [1800, 0] [599, 448]
[1800, 0] [597, 194] [596, 1]
[596, 1] [281, 7] [277, 0]
[-1800, -1800] [596, 1] [277, 0]
[291, 373] [599, 448] [290, 447]
[599, 448] [0, 1800] [290, 447]
